respondent_id,student_level,academic_area,open_feedback,validation_theme,predicted_theme,sentiment_score,sentiment
R0001,Graduate,Engineering,More examples of how to conduct research using the library's resources would be valuable.,Research Support,Research Support,1,Positive
R0002,Undergraduate,Engineering,I sometimes have to look outside the university for older academic sources.,Collections,Collections,0,Neutral
R0003,Undergraduate,Humanities,"I can usually access articles without a problem, but some links seem to lead me in circles.",Digital Resources,Digital Resources,0,Neutral
R0004,Faculty/Staff,Humanities,I sometimes feel overwhelmed by the number of academic resources available.,Research Support,Research Support,0,Neutral
R0005,Undergraduate,Engineering,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space,Study Space,-2,Negative
R0006,Undergraduate,Engineering,I would like clearer guidance on evaluating sources and deciding which materials are reliable.,Research Support,Research Support,0,Neutral
R0007,Undergraduate,Social Sciences,More examples of how to conduct research using the library's resources would be valuable.,Research Support,Research Support,1,Positive
R0008,Graduate,Life Sciences,I occasionally run into access issues when using library materials remotely.,Digital Resources,Digital Resources,0,Neutral
R0009,Undergraduate,Engineering,More spaces for small groups would make the library more useful for collaborative projects.,Study Space,Study Space,0,Neutral
R0010,Graduate,Business,I like studying here because there are several different types of work areas.,Study Space,Study Space,0,Neutral
R0011,Graduate,Life Sciences,"The workshops are useful, although they are not always offered when I need them.",Research Support,Research Support,0,Neutral
R0012,Undergraduate,Social Sciences,"I found most of the material I needed, but a few important sources were unavailable.",Collections,Collections,-1,Negative
R0013,Undergraduate,Life Sciences,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space,Study Space,0,Neutral
R0014,Graduate,Engineering,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources,Digital Resources,-1,Negative
R0015,Faculty/Staff,Social Sciences,More examples of how to conduct research using the library's resources would be valuable.,Research Support,Research Support,1,Positive
R0016,Undergraduate,Engineering,I was able to find most of what I needed online without asking for assistance.,Digital Resources,Digital Resources,0,Neutral
R0017,Graduate,Engineering,I occasionally run into access issues when using library materials remotely.,Digital Resources,Digital Resources,0,Neutral
R0018,Undergraduate,Life Sciences,"The online catalog has a lot of information, but it can be difficult to tell which result is most useful.",Digital Resources,Digital Resources,-1,Negative
R0019,Undergraduate,Social Sciences,"The library is a comfortable place to work, although finding a quiet seat can be difficult at busy times.",Study Space,Study Space,-1,Negative
R0020,Graduate,Computer Science,"The workshops are useful, although they are not always offered when I need them.",Research Support,Research Support,0,Neutral
R0021,Undergraduate,Life Sciences,I sometimes have to look outside the university for older academic sources.,Collections,Collections,0,Neutral
R0022,Graduate,Business,The research help I received was excellent and made the assignment much easier.,Research Support,Research Support,1,Positive
R0023,Graduate,Social Sciences,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources,Digital Resources,-1,Negative
R0024,Undergraduate,Business,"I can usually find useful academic material, although I sometimes need more guidance on where to begin.",Research Support,Research Support,0,Neutral
R0025,Graduate,Life Sciences,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections,Collections,0,Neutral
R0026,Undergraduate,Business,The available materials have supported most of my coursework successfully.,Collections,Collections,0,Neutral
R0027,Undergraduate,Social Sciences,More examples of how to conduct research using the library's resources would be valuable.,Research Support,Research Support,1,Positive
R0028,Graduate,Engineering,"Most of the material I need is available online, but finding the correct resource can take several attempts.",Digital Resources,Research Support,0,Neutral
R0029,Faculty/Staff,Engineering,"Electronic materials have been convenient, especially when I cannot visit the library in person.",Digital Resources,Digital Resources,1,Positive
R0030,Graduate,Life Sciences,More spaces for small groups would make the library more useful for collaborative projects.,Study Space,Study Space,0,Neutral
R0031,Undergraduate,Computer Science,More current editions of some textbooks would be helpful.,Collections,Collections,0,Neutral
R0032,Faculty/Staff,Engineering,Sometimes I find a useful article but have difficulty understanding which access option I should select.,Digital Resources,Digital Resources,-2,Negative
R0033,Undergraduate,Business,The research help I received was excellent and made the assignment much easier.,Research Support,Research Support,1,Positive
R0034,Graduate,Humanities,The digital resources are extensive and generally work well for my coursework.,Digital Resources,Digital Resources,0,Neutral
R0035,Undergraduate,Computer Science,"The resources are extensive, but I would benefit from more help choosing the right sources for a project.",Research Support,Research Support,0,Neutral
R0036,Graduate,Humanities,"I found most of the material I needed, but a few important sources were unavailable.",Collections,Collections,-1,Negative
R0037,Graduate,Life Sciences,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space,Study Space,-2,Negative
R0038,Graduate,Business,More spaces for small groups would make the library more useful for collaborative projects.,Study Space,Study Space,0,Neutral
R0039,Graduate,Social Sciences,I was able to find most of what I needed online without asking for assistance.,Digital Resources,Digital Resources,0,Neutral
R0040,Faculty/Staff,Computer Science,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space,Study Space,0,Neutral
R0041,Faculty/Staff,Social Sciences,"The workshops are useful, although they are not always offered when I need them.",Research Support,Research Support,0,Neutral
R0042,Undergraduate,Computer Science,The research help I received was excellent and made the assignment much easier.,Research Support,Research Support,1,Positive
R0043,Undergraduate,Humanities,"The library is a comfortable place to work, although finding a quiet seat can be difficult at busy times.",Study Space,Study Space,-1,Negative
R0044,Undergraduate,Humanities,"The library has comfortable spaces, but I sometimes have to look around for an available desk.",Study Space,Study Space,1,Positive
R0045,Graduate,Life Sciences,Sometimes I find a useful article but have difficulty understanding which access option I should select.,Digital Resources,Digital Resources,-2,Negative
R0046,Undergraduate,Social Sciences,"During busy periods, the available seating does not always meet demand.",Study Space,Study Space,-1,Negative
R0047,Undergraduate,Business,"Electronic materials have been convenient, especially when I cannot visit the library in person.",Digital Resources,Digital Resources,1,Positive
R0048,Graduate,Business,I would like more outlets near the desks where students usually work.,Study Space,Study Space,0,Neutral
R0049,Undergraduate,Social Sciences,"I was able to complete my research, although I spent quite a while figuring out which resources were appropriate.",Research Support,Research Support,0,Neutral
R0050,Undergraduate,Social Sciences,"The online collection is useful, but the search experience could be easier for someone using it for the first time.",Digital Resources,Digital Resources,0,Neutral
R0051,Undergraduate,Computer Science,"The online catalog has a lot of information, but it can be difficult to tell which result is most useful.",Digital Resources,Digital Resources,-1,Negative
R0052,Graduate,Business,The library could provide more support for students who are unfamiliar with scholarly research.,Research Support,Research Support,0,Neutral
R0053,Undergraduate,Computer Science,"The staff are knowledgeable, but I do not always know when or how to ask for research assistance.",Research Support,Research Support,0,Neutral
R0054,Undergraduate,Business,I would like to see more materials added for interdisciplinary research.,Collections,Collections,0,Neutral
R0055,Faculty/Staff,Business,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space,Study Space,0,Neutral
R0056,Graduate,Business,"I usually find somewhere to work, but peak hours can be frustrating.",Study Space,Study Space,-1,Negative
R0057,Undergraduate,Computer Science,The extended hours are helpful when I have assignments to finish late at night.,Study Space,Study Space,0,Neutral
R0058,Undergraduate,Engineering,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections,Collections,0,Neutral
R0059,Undergraduate,Humanities,I would like a simpler way to locate electronic books and journal articles related to a course.,Digital Resources,Digital Resources,0,Neutral
R0060,Undergraduate,Business,"The selection is good, although availability depends heavily on the subject.",Collections,Collections,0,Neutral
R0061,Undergraduate,Life Sciences,"The collection is broad, but there are occasional gaps in materials for specialized subjects.",Collections,Collections,-1,Negative
R0062,Graduate,Computer Science,The available materials have supported most of my coursework successfully.,Collections,Collections,0,Neutral
R0063,Graduate,Business,More spaces for small groups would make the library more useful for collaborative projects.,Study Space,Study Space,0,Neutral
R0064,Graduate,Social Sciences,"The online collection is useful, but the search experience could be easier for someone using it for the first time.",Digital Resources,Digital Resources,0,Neutral
R0065,Undergraduate,Engineering,The library could provide more support for students who are unfamiliar with scholarly research.,Research Support,Research Support,0,Neutral
R0066,Graduate,Humanities,I occasionally discover that a recommended book is not accessible when I need it.,Collections,Collections,0,Neutral
R0067,Undergraduate,Life Sciences,The library could provide more support for students who are unfamiliar with scholarly research.,Research Support,Research Support,0,Neutral
R0068,Faculty/Staff,Engineering,I would like to see more materials added for interdisciplinary research.,Collections,Collections,0,Neutral
R0069,Undergraduate,Business,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space,Study Space,-2,Negative
R0070,Graduate,Life Sciences,"The digital collection is strong, although some materials take too many steps to access.",Digital Resources,Digital Resources,0,Neutral
R0071,Faculty/Staff,Humanities,"The staff are knowledgeable, but I do not always know when or how to ask for research assistance.",Research Support,Research Support,0,Neutral
