respondent_id,student_level,academic_area,library_usage_frequency,satisfaction_score,digital_resources_score,study_space_score,research_support_score,open_feedback,validation_theme
R0001,Graduate,Engineering,Monthly,3.5,3.9,4.5,4.1,More examples of how to conduct research using the library's resources would be valuable.,Research Support
R0002,Undergraduate,Engineering,Several times a week,4.2,5,3.0,3.7,I sometimes have to look outside the university for older academic sources.,Collections
R0003,Undergraduate,Humanities,Monthly,4.7,3.6,3.3,2.9,"I can usually access articles without a problem, but some links seem to lead me in circles.",Digital Resources
R0004,Faculty/Staff,Humanities,Several times a week,3.7,4.6,3.8,4.5,I sometimes feel overwhelmed by the number of academic resources available.,Research Support
R0005,Undergraduate,Engineering,Rarely,2.4,3.6,3.5,2.2,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space
R0006,Undergraduate,Engineering,Daily,4.5,5,4.9,4.6,I would like clearer guidance on evaluating sources and deciding which materials are reliable.,Research Support
R0007,Undergraduate,Social Sciences,Monthly,3.8,4.1,2.9,2.6,More examples of how to conduct research using the library's resources would be valuable.,Research Support
R0008,Graduate,Life Sciences,Monthly,3.8,4.1,4.6,3.4,I occasionally run into access issues when using library materials remotely.,Digital Resources
R0009,Undergraduate,Engineering,Several times a week,4.7,4.2,4.0,4.5,More spaces for small groups would make the library more useful for collaborative projects.,Study Space
R0010,Graduate,Business,Rarely,2.8,2.7,3.8,3.8,I like studying here because there are several different types of work areas.,Study Space
R0011,Graduate,Life Sciences,Weekly,4.2,5,3.5,3.8,"The workshops are useful, although they are not always offered when I need them.",Research Support
R0012,Undergraduate,Social Sciences,Several times a week,3.7,3.2,3.3,4.7,"I found most of the material I needed, but a few important sources were unavailable.",Collections
R0013,Undergraduate,Life Sciences,Rarely,4.0,3.1,2.6,2.3,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space
R0014,Graduate,Engineering,Weekly,3.8,3.8,3.6,2.8,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources
R0015,Faculty/Staff,Social Sciences,Weekly,3.2,3.1,4.5,4.7,More examples of how to conduct research using the library's resources would be valuable.,Research Support
R0016,Undergraduate,Engineering,Several times a week,2.9,5,4.3,3.6,I was able to find most of what I needed online without asking for assistance.,Digital Resources
R0017,Graduate,Engineering,Several times a week,3.9,4.1,4.2,3.0,I occasionally run into access issues when using library materials remotely.,Digital Resources
R0018,Undergraduate,Life Sciences,Several times a week,3.2,3.9,5,3.8,"The online catalog has a lot of information, but it can be difficult to tell which result is most useful.",Digital Resources
R0019,Undergraduate,Social Sciences,Monthly,2.8,3.8,3.9,3.8,"The library is a comfortable place to work, although finding a quiet seat can be difficult at busy times.",Study Space
R0020,Graduate,Computer Science,Monthly,4.5,3.5,3.8,3.6,"The workshops are useful, although they are not always offered when I need them.",Research Support
R0021,Undergraduate,Life Sciences,Several times a week,3.9,3.7,5,5,I sometimes have to look outside the university for older academic sources.,Collections
R0022,Graduate,Business,Several times a week,4.7,4.5,3.4,4.4,The research help I received was excellent and made the assignment much easier.,Research Support
R0023,Graduate,Social Sciences,Several times a week,3.6,4.5,4.5,3.7,"The search tools are helpful once I understand them, but they are not very intuitive initially.",Digital Resources
R0024,Undergraduate,Business,Several times a week,2.8,4.4,5,4.6,"I can usually find useful academic material, although I sometimes need more guidance on where to begin.",Research Support
R0025,Graduate,Life Sciences,Monthly,5,3.2,3.8,3.2,"The library has a strong selection overall, although certain subjects have fewer resources than others.",Collections
R0026,Undergraduate,Business,Rarely,3.0,3.0,1.7,3.9,The available materials have supported most of my coursework successfully.,Collections
R0027,Undergraduate,Social Sciences,Rarely,2.0,2.6,3.4,3.5,More examples of how to conduct research using the library's resources would be valuable.,Research Support
R0028,Graduate,Engineering,Monthly,4.3,3.8,2.0,3.5,"Most of the material I need is available online, but finding the correct resource can take several attempts.",Digital Resources
R0029,Faculty/Staff,Engineering,Rarely,3.2,3.1,3.5,2.5,"Electronic materials have been convenient, especially when I cannot visit the library in person.",Digital Resources
R0030,Graduate,Life Sciences,Several times a week,3.6,3.3,3.9,4.6,More spaces for small groups would make the library more useful for collaborative projects.,Study Space
R0031,Undergraduate,Computer Science,Monthly,3.3,4.1,3.5,3.2,More current editions of some textbooks would be helpful.,Collections
R0032,Faculty/Staff,Engineering,Daily,4.5,4.9,5,3.9,Sometimes I find a useful article but have difficulty understanding which access option I should select.,Digital Resources
R0033,Undergraduate,Business,Monthly,3.2,2.6,4.6,3.4,The research help I received was excellent and made the assignment much easier.,Research Support
R0034,Graduate,Humanities,Rarely,4.1,3.9,2.9,4.4,The digital resources are extensive and generally work well for my coursework.,Digital Resources
R0035,Undergraduate,Computer Science,Monthly,3.8,4.5,3.4,4.2,"The resources are extensive, but I would benefit from more help choosing the right sources for a project.",Research Support
R0036,Graduate,Humanities,Daily,4.2,4.7,4.8,4.4,"I found most of the material I needed, but a few important sources were unavailable.",Collections
R0037,Graduate,Life Sciences,Daily,5,5,5,3.9,"The building provides a good environment for focused work, although group spaces can be difficult to reserve.",Study Space
R0038,Graduate,Business,Several times a week,3.6,5,4.5,2.9,More spaces for small groups would make the library more useful for collaborative projects.,Study Space
R0039,Graduate,Social Sciences,Several times a week,4.4,2.7,3.2,4.6,I was able to find most of what I needed online without asking for assistance.,Digital Resources
R0040,Faculty/Staff,Computer Science,Rarely,3.5,1.7,4.2,3.2,"The quiet areas are useful, but the distinction between quiet and collaborative spaces could be clearer.",Study Space
